m a m p a	a_Consonants-bad		
m a n t a	a_Consonants-bad		
m a N k a	a_Consonants-bad		
m a m b a	a_Consonants-good		
m a n d a	a_Consonants-good		
m a N g a	a_Consonants-good		
m a n b a	a_Consonants-bad		
m a m d a	a_Consonants-bad		
m a t p a	a_Consonants-bad		
m a n g a	a_Consonants-bad		
u m a	a_Consonants-bad		
a a m a	a_Consonants-bad		
m a k	a_Consonants-bad		
m o m o m a	singleC_good	705	6.370734
m e m e m a	singleC_good	601	5.654277
m i m i m a	singleC_good	507	3.045542
m u m u m a	singleC_good	845	2.278214
m i m a m a	singleC_good	1220	1.912923
m u m a m a	singleC_good	1815	1.906579
m o m e m a	singleC_good	156	1.438388
m e m u m a	singleC_good	264	1.32961
m e m a m a	singleC_good	655	1.285292
m o m a m a	singleC_good	650	1.250037
m a m i m a	singleC_good	532	0.8341599
m u m i m a	singleC_good	180	0.7243854
m i m u m a	singleC_good	179	0.7203611
m a m a m a	singleC_good	1539	0.6298793
m a m u m a	singleC_good	587	0.6166182
m o m i m a	singleC_bMarginal	23	0.1694558
m o m u m a	singleC_bMarginal	20	9.87E-02
m e m i m a	singleC_bad	3	2.26E-02
m u m e m a	singleC_bad	4	0.0201456
m a m e m a	singleC_bad	3	5.89E-03
m u m o m a	singleC_bad	1	4.94E-03
m a m o m a	singleC_bad	1	1.92E-03
m e m o m a	singleC_bad	0	0
m i m e m a	singleC_bad	0	0
m i m o m a	singleC_bad	0	0
m o n d o m a	Cluster_good	705	6.370734
m e n d e m a	Cluster_good	601	5.654277
m i n d i m a	Cluster_good	507	3.045542
m u n d u m a	Cluster_good	845	2.278214
m i n d a m a	Cluster_good	1220	1.912923
m u n d a m a	Cluster_good	1815	1.906579
m o n d e m a	Cluster_good	156	1.438388
m e n d u m a	Cluster_good	264	1.32961
m e n d a m a	Cluster_good	655	1.285292
m o n d a m a	Cluster_good	650	1.250037
m a n d i m a	Cluster_good	532	0.8341599
m u n d i m a	Cluster_good	180	0.7243854
m i n d u m a	Cluster_good	179	0.7203611
m a n d a m a	Cluster_good	1539	0.6298793
m a n d u m a	Cluster_good	587	0.6166182
m o n d i m a	Cluster_bMarginal	23	0.1694558
m o n d u m a	Cluster_bMarginal	20	9.87E-02
m e n d i m a	Cluster_bad	3	2.26E-02
m u n d e m a	Cluster_bad	4	0.0201456
m a n d e m a	Cluster_bad	3	5.89E-03
m u n d o m a	Cluster_bad	1	4.94E-03
m a n d o m a	Cluster_bad	1	1.92E-03
m e n d o m a	Cluster_bad	0	0
m i n d e m a	Cluster_bad	0	0
m i n d o m a	Cluster_bad	0	0
ch o m b i r a	Real		
ch e ch e n y e k a	Real
ch e ch e pf u dz a	Real
ch e ch e r e dz a	Real
ch e ch e s a	Real
ch e ch e t a	Real
ch e ch e u k a	Real
ch e d e b u r a	Real
ch e dz a	Real
ch e h e n u dz a	Real
ch e h e n u k a	Real
ch e m e dz e k a	Real
ch e n a	Real
ch e n e r u k a	Real
ch e N g u dz i r a	Real
ch e n j e dz a	Real
ch e n u dz a	Real
ch e n u k a	Real
ch e n u r u dz a	Real
ch e n u r u k a	Real
ch e n u t s a	Real
ch e n y a	Real
ch e n y a m a	Real
ch e n y e N g a	Real
ch e n y e N g u dz a	Real
ch e n y e N g u k a	Real
ch e n y e N g u r a	Real
ch e n y e u dz a	Real
ch e n y e u k a	Real
ch e n y e u r a	Real
ch e n y u dz a	Real
ch e n y u k a	Real
ch e n y u r a	Real
ch e p a	Real
ch e pf e n y u r a	Real
ch e pf u dz a	Real
ch e pf u k a	Real
ch e pf u r a	Real
ch e r a	Real
ch e r e k e dz a	Real
ch e r e N g a	Real
ch e s a	Real
ch e u r a	Real
ch e v a	Real
ch e vh u r a	Real
ch e y a	Real
ch e y a m a	Real
ch e z e r a	Real
ch i ch a	Real
ch i ch a	Real
ch i ch i dz a	Real
ch i ch i dz a	Real
ch i ch i N g a	Real
ch i ch i n h a	Real
ch i ch i n h a	Real
ch i ch i n u dz a	Real
ch i ch i n u k a	Real
ch i ch i n u r a	Real
ch i d i g u dz a	Real
ch i g i d i dz a	Real
ch i g i d i k a	Real
ch i g i d i r a	Real
ch i g i d i s a	Real
ch i g i d u dz a	Real
ch i g i d u k a	Real
ch i k a i dz a	Real
ch i k i ch i r a	Real
ch i k i d i k a	Real
ch i k i dz a	Real
ch i m b a	Real
ch i m b i dz i k a	Real
ch i m b u r a	Real
ch i m b w i n i k a	Real
ch i n d u k a	Real
ch i n d u r a	Real
ch i N g a i dz a	Real
ch i N g a r u k a	Real
ch i n h a	Real
ch i n j a	Real
ch i n j i dz a	Real
ch i n u k a	Real
ch i n y i k a	Real
ch i n y i k a r a	Real
ch i n y i N g u dz a	Real
ch i n y i N g u k a	Real
ch i n y i N g u r a	Real
ch i n y u dz a	Real
ch i n y u k a	Real
ch i n y u k a	Real
ch i n y u r a	Real
ch i p a	Real
ch i r a	Real
ch i r i r a	Real
ch i r i r i dz a	Real
ch i r i r i k a	Real
ch i r i r i r a	Real
ch i r u dz a	Real
ch i r u k a	Real
ch i s a	Real
ch o ch o r a	Real
ch o ch o v a	Real
ch o ch o v a n a	Real
ch o d o g o k a	Real
ch o d o g o r a	Real
ch o g o d o dz a	Real
ch o g o d o k a	Real
ch o g o d o r a	Real
ch o k o ch a	Real
ch o k o m o r a	Real
ch o k o n y a	Real
ch o k o n y o k a	Real
ch o k o t a	Real
ch o k o t o dz a	Real
ch o m w a i dz a	Real
ch o m w a i r a	Real
ch o n a	Real
ch o n j o m a r a	Real
ch o n j o r o k a	Real
ch o n y a	Real
ch o o n a	Real
ch o o r a	Real
ch o r a	Real
ch o r o r o k a	Real
ch o r o v e r a	Real
ch o t o r a	Real
ch o w a i r a	Real
ch u b w a	Real
ch u m b w i k a	Real
ch u r u r u k a	Real
ch w a b a i r a	Real
d a	Real
d a	Real
d a b a i r a	Real
d a b u k a	Real
d a b u r a	Real
d a b u r a	Real
d a d a	Real
d a d a b u r a	Real
d a d a bv u r a	Real
d a d a dz i k a	Real
d a d a i r a	Real
d a d a m b u r a	Real
d a d a m i s a	Real
d a d a N g u r a	Real
d a d a n u k a	Real
d a d a n u r a	Real
d a d a sh u dz a	Real
d a d a sh u k a	Real
d a d a sh u r a	Real
d a d a u k a	Real
d a d a u k a	Real
d a d a u r a	Real
d a d a u t s a	Real
d a d a u t s a	Real
d a d u dz a	Real
d a d u k a	Real
d a d u t s a	Real
d a dz u dz a	Real
d a dz u k a	Real
d a dz u r a	Real
d a f i r a	Real
d a g a i r a	Real
d a i dz a	Real
d a i dz i r a	Real
d a i m a	Real
d a i r a	Real
d a k a	Real
d a k a dz a	Real
d a k a n u k a	Real
d a k a n u r a	Real
d a k a r i r a	Real
d a k u k a	Real
d a m b a i r a	Real
d a m b i r a	Real
d a m b u k a	Real
d a m b u n u dz a	Real
d a m b u n u r a	Real
d a m u k a	Real
d a m u r a	Real
d a m w a dz a	Real
d a m w a i dz a	Real
d a m w a i r a	Real
d a n a	Real
d a n a	Real
d a n a i r a	Real
d a n a n a	Real
d a n a N g u k a	Real
d a n a N g u r a	Real
d a n a u k a	Real
d a n a u r a	Real
d a n d a m u dz a	Real
d a n d a m u k a	Real
d a n d a m u r a	Real
d a n d a m u t s a	Real
d a n d a u r a	Real
d a n d i r a	Real
d a N g a r i dz a	Real
d a N g a y i s a	Real
d a N g u r a	Real
d a n h a	Real
d a n h i dz a	Real
d a n h i k a	Real
d a n i dz a	Real
d a p a	Real
d a pf a n y a	Real
d a r a	Real
d a r a k a	Real
d a r i dz a	Real
d a sh u dz a	Real
d a sh u k a	Real
d a sh u r a	Real
d a t a m u k a	Real
d a t a m u r a	Real
d a t a n y a r a	Real
d a u dz a	Real
d a u k a	Real
d a u r a	Real
d a u s a	Real
d a u t s a	Real
d a v a d a	Real
d a v i dz a	Real
d a z u r a	Real
d b a d b a n u r a	Real
d b a dh a dz a	Real
d b a m a	Real
d b a n a i dz a	Real
d b a n d a r i dz a	Real
d b a n h a	Real
d b a r u r u dz a	Real
d b a u r a	Real
d b a y a	Real
d b e bh u k a	Real
d b e d b e dz a	Real
d b e dh a	Real
d b e g e dz a	Real
d b e k a	Real
d b e r e r a	Real
d b e t s a	Real
d b i dh i dz a	Real
d b i g a i r a	Real
d b o N g e r a	Real
d b s a k a	Real
d b u a n y a	Real
d b u bh u dz a	Real
d b u d b u m a	Real
d b u d b u m i dz a	Real
d b u dh a	Real
d b u dh u dz a	Real
d b u dh u m b w i dz a	Real
d b u d y u r a	Real
d b u g u dz a	Real
d b u k u n y a	Real
d b u m a i a	Real
d b u m u r a	Real
d b u n b a	Real
d b u r a	Real
d b u u z a	Real
d e a r a	Real
d e b u k a	Real
d e bv a m a	Real
d e d e dz a	Real
d e d e m a dz a	Real
d e d e m a r a	Real
d e d e m e r a	Real
d e d e m u dz a	Real
d e d e m u r a	Real
d e d e N g a	Real
d e d e n y a	Real
d e d e r a	Real
d e d e r e s a	Real
d e d u dz a	Real
d e d u k a	Real
d e dz a	Real
d e e dz a	Real
d e e dz a	Real
d e e dz e r w a	Real
d e e r a	Real
d e f a m a	Real
d e g a i r a	Real
d e h e n y a	Real
d e h w a m a	Real
d e k a dz a	Real
d e k e dz a	Real
d e k e n e r a	Real
d e k e r a	Real
d e k e r e r a	Real
d e k e sh a	Real
d e k e sh u dz a	Real
d e k e sh u k a	Real
d e k e sh u r a	Real
d e k e t a	Real
d e k e t e dz a	Real
d e k e t e r a	Real
d e k u dz a	Real
d e k u r a	Real
d e m a	Real
d e m b a	Real
d e m b e dz a	Real
d e m u r a	Real
d e m w a i dz a	Real
d e n b e dz a	Real
d e n b e k a	Real
d e n b e n b e r a	Real
d e n d e m a r a	Real
d e n d e r e dz a	Real
d e n e N g a dz a	Real
d e n e N g a r a	Real
d e n e N g u k a	Real
d e n e N g u r a	Real
d e N g a dz a	Real
d e N g a i dz a	Real
d e N g a i r a	Real
d e N g e dz e k a	Real
d e N g e z a	Real
d e N g u m a	Real
d e n h a	Real
d e n h e r a	Real
d e n h e t s a	Real
d e n h u dz a	Real
d e n h u k a	Real
d e n h u r a	Real
d e n u t s a	Real
d e n y a	Real
d e n y u r a	Real
d e p a	Real
d e r a	Real
d e r e dz a	Real
d e r e k e sh a	Real
d e r e r a	Real
d e r u k a	Real
d e sh u r a	Real
d e t a	Real
d e t e m b a	Real
d e t e m b e dz a	Real
d e t e m b u r a	Real
d e v a	Real
d e v a i r a	Real
d e v a n i s a	Real
d e v e dz a	Real
d e v e dz a	Real
d e w a	Real
d e y a	Real
d e z a	Real
dh a bh a	Real
dh a bh a n u r a	Real
dh a bh u dz a	Real
dh a bh u k a	Real
dh a bh u k a	Real
dh a bh u r a	Real
dh a bh u r a	Real
dh a b u k a	Real
dh a b w a dh i dz a	Real
dh a ch a	Real
dh a d a r a	Real
dh a dh a	Real
dh a dh a i r a	Real
dh a dh a m u dz a	Real
dh a dh a m u k a	Real
dh a dh a m u r a	Real
dh a dh a r a	Real
dh a dh a u k a	Real
dh a d u k a	Real
dh a g u t s a	Real
dh a r a m a	Real
dh a r a r u t s a	Real
dh a sv a N g u k a	Real
dh a u z a	Real
dh e b a n a	Real
dh e bh a	Real
dh e e dz a	Real
dh e g e m u r a	Real
dh e r u dz a	Real
dh i bh a	Real
dh i dh a	Real
dh i g i dz a	Real
dh i g u k a	Real
dh i g u r a	Real
dh i g u s a	Real
dh i i n y a	Real
dh i k i n y i dz a	Real
dh i m a	Real
dh i r i t s a	Real
dh i v a n a	Real
dh o bh a	Real
dh o dh a	Real
dh o dh a	Real
dh o dh o dz a	Real
dh o dh o k a	Real
dh o d y o dz a	Real
dh o d y o k a	Real
dh o d y o r a	Real
dh o g o d b a	Real
dh o g o dh e dz a	Real
dh o g o dh e r a	Real
dh o g o dh e s a	Real
dh o g o dz a	Real
dh o g o m a	Real
dh o k o r a	Real
dh o m a	Real
dh o m b a	Real
dh o m e r a	Real
dh o m o k a	Real
dh o m o r a	Real
dh o n d o dz a	Real
dh o N g a	Real
dh o n o r a	Real
dh o n z a	Real
dh o vh o dz a	Real
dh u b s u k a	Real
dh u b u r a	Real
dh u bv a r a	Real
dh u g u k a	Real
dh u g u k a	Real
dh u g u r a	Real
dh u g u r a	Real
dh u g u t s a	Real
dh u k a	Real
dh u m a	Real
d i b a	Real
d i b u r a	Real
d i ch i r a	Real
d i d i dz a	Real
d i d i dz a	Real
d i g a	Real
d i k a	Real
d i k a n a	Real
d i k i dz a	Real
d i k i n y i dz a	Real
d i k i t a	Real
d i k i t i r a	Real
d i k u r a	Real
d i m b a	Real
d i m b i dz a	Real
d i m b i r a	Real
d i m b u k a	Real
d i m b u r a	Real
d i m i k a	Real
d i m u dz a	Real
d i m u k a	Real
d i n b i r i k a	Real
d i n d i r i dz a	Real
d i n d i r i k a	Real
d i N g a	Real
d i n h u k a	Real
d i n y a	Real
d i n zv a	Real
d i s a	Real
d i v a	Real
d i y a	Real
d o b e k a	Real
d o b o d e dz a	Real
d o b o d e r a	Real
d o b o dz a	Real
d o b o r a	Real
d o d a	Real
d o d o dz a	Real
d o d o k a	Real
d o d o m a	Real
d o d o m e dz a	Real
d o d o m e s a	Real
d o d o n y a	Real
d o d o o dz a	Real
d o d o o r a	Real
d o d o r a	Real
d o d o r a	Real
d o d o r e dz a	Real
d o d o r o dz a	Real
d o dz a	Real
d o k a	Real
d o k o n o r a	Real
d o k o n y a	Real
d o k o p a	Real
d o k o p a dz a	Real
d o k o p a r a	Real
d o k o s a	Real
d o m a	Real
d o m b e dz a	Real
d o m b e k a	Real
d o m b e r a	Real
d o m e r a	Real
d o n a i dz a	Real
d o n d e k a	Real
d o n d e k a r a	Real
d o n d o dz a	Real
d o n d o z a	Real
d o N g a	Real
d o N g e r a	Real
d o N g o n y o dz a	Real
d o N g o n y o r a	Real
d o N g o r a	Real
d o N g o r e r a	Real
d o n h a	Real
d o n j a	Real
d o n o N g o dz a	Real
d o n o r a	Real
d o n y e r a	Real
d o n y o N g o sh a	Real
d o n zv a	Real
d o o r a	Real
d o o r o r a	Real
d o p o dz a	Real
d o p o k a	Real
d o p o k e dz a	Real
d o p o t s a	Real
d o r o N g o sh a	Real
d o sh a	Real
d o t o dz a	Real
d o t o r a	Real
d o v a	Real
d o v a i dz a	Real
d o w e r a	Real
d o w e r a	Real
d o y a	Real
d u d a	Real
d u d a dz a	Real
d u d u m a	Real
d u d u n a	Real
d u d u n u k a	Real
d u d u n u r a	Real
d u d u v a r a	Real
d u k u p a	Real
d u k u p i s a	Real
d u k u r a	Real
d u k u s a	Real
d u m a dz a	Real
d u m a r a	Real
d u m a z a	Real
d u m a z i k a	Real
d u m b a	Real
d u m b i dz a	Real
d u m b i dz a	Real
d u m b i r a	Real
d u m b u n u r a	Real
d u m b u r a	Real
d u m b u u r a	Real
d u m u r a	Real
d u m u r a	Real
d u n b a n u dz a	Real
d u n b u m a dz a	Real
d u n d a	Real
d u n d u m a dz a	Real
d u n d u m a r a	Real
d u n d u r u dz a	Real
d u n d u r u k a	Real
d u n d u v i r a	Real
d u n d u z i r a	Real
d u N g a	Real
d u N g a m i dz a	Real
d u N g a n i dz a	Real
d u N g i dz i r a	Real
d u N g i r a	Real
d u N g u n u dz a	Real
d u N g u n u k a	Real
d u N g u n u r a	Real
d u N g u r a	Real
d u N g u r u dz a	Real
d u N g u z a	Real
d u n h u m a r a	Real
d u n h u r a	Real
d u n h u r a	Real
d u n j a	Real
d u n u k a	Real
d u n z u k a	Real
d u n z u r a	Real
d u p i dz a	Real
d u p i k a	Real
d u p u dz a	Real
d u p u k a	Real
d u p u k i s a	Real
d u r i k a	Real
d u r i k i dz a	Real
d u r u dz a	Real
d u r u k a	Real
d u r u N g u n d a	Real
d u r u n u dz a	Real
d u r u n u k a	Real
d u r u n u r a	Real
d u r u r a	Real
d u r u t s a	Real
d u s a	Real
d u t a	Real
d u t i r a	Real
d u t s a	Real
d u t s a	Real
d u u m a r a	Real
d u u m i dz a	Real
d u u m i dz a	Real
d u u m i r a	Real
d u u m u dz a	Real
d u u m u r a	Real
d u u n y a	Real
d u u r a	Real
d u w a i k a	Real
d u w a i r a	Real
d u z a	Real
d w a i r a	Real
d w a t s a	Real
d w e N g a	Real
d w i d w i N g a	Real
d w i N g a	Real
d w i N g i r i dz a	Real
d w i N g i r i k a	Real
d w i N g i r i r a	Real
d w u r a	Real
d y a d y a r a	Real
d y a r u r u r a	Real
d y e s a	Real
d y e t y a N g a	Real
d y i d y i dz a	Real
d y i dz a n a	Real
d y i dz a n i dz a	Real
d y o r a	Real
d y u k i r a	Real
d y u N g a	Real
dz a	Real
dz a d a m a	Real
dz a dz a d a	Real
dz a dz a m a	Real
dz a dz a m b i dz a	Real
dz a dz a m i r a	Real
dz a dz a N g a	Real
dz a dz a n u k a	Real
dz a dz a n u r a	Real
dz a dz a r i dz a	Real
dz a dz a r i k a	Real
dz a dz u r a	Real
dz a dz u r a	Real
dz a i t a	Real
dz a i t a n a	Real
dz a k a	Real
dz a k a i r a	Real
dz a m a r a	Real
dz a m a r a r a	Real
dz a m a r i y a t a	Real
dz a m b a	Real
dz a m b a n u k a	Real
dz a m b a t s a m b a	Real
dz a m b i r a	Real
dz a m h i n a	Real
dz a m h u r a	Real
dz a m i k a	Real
dz a m i r a	Real
dz a m i r i k a	Real
dz a m u k a	Real
dz a m u r a	Real
dz a m w a r a	Real
dz a N g a i dz a	Real
dz a N g a n y a	Real
dz a N g a r a	Real
dz a N g a r a s w a	Real
dz a r a t s a r a	Real
dz a r a t s a t a	Real
dz a s a	Real
dz a t s a m b i dz a	Real
dz a t u k a	Real
dz a t u r a	Real
dz a u k a	Real
dz a u k a	Real
dz a u r a	Real
dz a u r a	Real
dz a u r i r a	Real
dz e d e t a	Real
dz e d u r a	Real
dz e dz e r e dz a	Real
dz e dz e r e k a	Real
dz e m b e r e dz a	Real
dz e m b e r e r a	Real
dz e m b w e dz e k a	Real
dz e m u r a	Real
dz e n d e m u k a	Real
dz e n d e m u r a	Real
dz e N g a i r a	Real
dz e N g e dz a	Real
dz e N g e dz e k a	Real
dz e N g e r e dz a	Real
dz e N g e r e r a	Real
dz e p a	Real
dz e r e dz e d e k a	Real
dz e r e dz e k a	Real
dz e r e m u k a	Real
dz e r e m u t s a	Real
dz e r e r e dz a	Real
dz e r e r e k a	Real
dz e s w e dz e k a	Real
dz e t a	Real
dz e y a	Real
dz i dz a	Real
dz i dz a	Real
dz i dz i m u k a	Real
dz i dz i m u r a	Real
dz i dz i m u t s a	Real
dz i dz i r a	Real
dz i dz i s a	Real
dz i dz i u a	Real
dz i dz i u k a	Real
dz i dz i u t s a	Real
dz i i r a	Real
dz i k a	Real
dz i k a t i dz a	Real
dz i k i dz i r a	Real
dz i k i n u k a	Real
dz i k i n y i dz a	Real
dz i k i t i dz a	Real
dz i m i dz a	Real
dz i m i r a	Real
dz i m u k a	Real
dz i m u r i r a	Real
dz i m w a i r a	Real
dz i n a r a	Real
dz i n d i r a	Real
dz i n d i r a	Real
dz i n d u k a	Real
dz i n d u r a	Real
dz i N g a	Real
dz i N g a i dz a	Real
dz i N g a r a	Real
dz i N g i dz a	Real
dz i N g i s a	Real
dz i n y a	Real
dz i n y i k i dz a	Real
dz i n z a	Real
dz i p a	Real
dz i p u r a	Real
dz i r i dz i d i dz a	Real
dz i r i dz i d i k a	Real
dz i r i k i t i dz a	Real
dz i s a	Real
dz i t i dz a	Real
dz i t i k a	Real
dz i t i r a	Real
dz i t s i n y i r a	Real
dz i v a i r a	Real
dz i v i r i r a	Real
dz i v i s a	Real
dz i v u r a	Real
dz i y a	Real
dz i y i s a	Real
dz o g o m a r a	Real
dz o h o n a	Real
dz o k e r a	Real
dz o k e r e r a	Real
dz o k e s a	Real
dz o n y e r a	Real
dz o n y o N g a	Real
dz o n z a	Real
dz o o n a	Real
dz o o r a	Real
dz o r a	Real
dz o r a	Real
dz o r e r a	Real
dz o r e r e dz a	Real
dz o r o N g a	Real
dz o r o r o dz a	Real
dz o r o r o k a	Real
dz o s a	Real
dz o t s a	Real
dz u d u b u k a	Real
dz u d u b u r a	Real
dz u dz a	Real
dz u dz a	Real
dz u k a	Real
dz u k u n u r a	Real
dz u k u t u r a	Real
dz u m b i n a	Real
dz u m b u n a r a	Real
dz u m b u r u dz a n a	Real
dz u m h i n h a	Real
dz u m i n a	Real
dz u n d u k a	Real
dz u N g a i r a	Real
dz u N g i r a	Real
dz u N g i s a	Real
dz u N g u dz a	Real
dz u N g u n y i dz a	Real
dz u N g u n y i k a	Real
dz u N g u n y i r a	Real
dz u N g u r a	Real
dz u N g u r u k a	Real
dz u n z u n y a	Real
dz u r u r a	Real
dz u t u k a	Real
dz u t u k a	Real
dz u t u r a	Real
dz u t u r a	Real
dzv a	Real
dzv a d a N g a	Real
dzv a k u m u r a	Real
dzv a m u k a	Real
dzv a n d a i r a	Real
dzv a n d a m a	Real
dzv a n d a m a	Real
dzv a n h u k a	Real
dzv a n zv a n a	Real
dzv a r a	Real
dzv a r a	Real
dzv a t s a	Real
dzv a t s i r a	Real
dzv a tsv a i dz a	Real
dzv a z u r a	Real
dzv e d e dz a	Real
dzv e dz a	Real
dzv e m e r a	Real
dzv e m e r e dz a	Real
dzv e m e r e k a	Real
dzv e m e t e dz a	Real
dzv e m e t e r a	Real
dzv e n d a	Real
dzv e n d e r a	Real
dzv e n e t e k a	Real
dzv e N g a	Real
dzv e t a	Real
dzv e v a	Real
dzv i dzv i dz a	Real
dzv i k i n y i dz a	Real
dzv i n y a	Real
dzv i n y i N g a	Real
dzv i n y i N g i k a	Real
dzv i n zv i n y a	Real
dzv i t a	Real
dzv i t u r a	Real
dzv o g o m a r a	Real
dzv o k o dz a	Real
dzv o k o m a r a	Real
dzv o k o r a	Real
dzv o k o r a	Real
dzv o m b o r a	Real
dzv o n d o dz a	Real
dzv o n d o k a	Real
dzv o n d o r a	Real
dzv o N g a m a	Real
dzv o n y o r a	Real
dzv o t o t a	Real
dzv o v a	Real
dzv u N g i r a	Real
dzv u t u dz a	Real
dzv u t u m a r a	Real
dz w a n d a	Real
dz w a n y a	Real
dz w e t a	Real
dz w i n y a	Real
dz w i n y a	Real
dz w i n y a t a	Real
e a i n a	Real
e dz a	Real
e dz e r e r a	Real
e g a n b a dz a	Real
e h a k a p i t i dz a	Real
e h a m b w a dz a	Real
e h e ch e pf u k a	Real
e h e k e e h e dz a	Real
e h e k e n y a	Real
e h e k e t e r a	Real
e h e m b e dz a	Real
e h e m b e r a	Real
e h e m e r a	Real
e h e n d a m a	Real
e h e n e r u dz a	Real
e h e n e s a	Real
e h e N g a	Real
e m b e dz a	Real
e m b e k a	Real
e m b e r a	Real
e n d e dz a n a	Real
e N g e r e r a	Real
e n z a n a	Real
e n z e r a	Real
e r a	Real
e r e dz a	Real
e r e k a	Real
e r e k a n a	Real
e r e s e r a	Real
f a b a n u dz a	Real
f a b u k a	Real
f a b u r a	Real
f a d b a m u k a	Real
f a dz a	Real
f a f a dz a	Real
f a f a i dz a	Real
f a f a i k a	Real
f a f a m a	Real
f a f a r a dz a	Real
f a f u r a	Real
f a i m a	Real
f a i r a	Real
f a i r a	Real
f a k a n y i k a	Real
f a k a z a	Real
f a k u m u k a	Real
f a m b a	Real
f a m b i dz a n a	Real
f a m b i s a	Real
f a m b u dz a	Real
f a m v a m a dz a	Real
f a m v a m a r a	Real
f a n a	Real
f a n a u i dz a	Real
f a n d a n u dz a	Real
f a n d a n u k a	Real
f a n d a n u r a	Real
f a n d i s a	Real
f a n d u dz a	Real
f a n d u k a	Real
f a n d u r a	Real
f a n d y u dz a	Real
f a n d y u k a	Real
f a n d y u r a	Real
f a N g u k a	Real
f a N g u r a	Real
f a n i r a	Real
f a n y a	Real
f a n y a n a	Real
f a n y a N g u r a	Real
f a n z a	Real
f a n z a i dz a	Real
f a n z a i r a	Real
f a r a	Real
f a r a n a dz a	Real
f a r a n d a n d i k a	Real
f a r a n d a n d i r a	Real
f a r a n u k a	Real
f a r a r i k a	Real
f a r a r i r a	Real
f a r i k a	Real
f a r u k a	Real
f a r u r a	Real
f a r u s a	Real
f a r u t s a	Real
f a s a	Real
f a sh u r a	Real
f a sh a i dz a	Real
f a sh a i r a	Real
f a sh a m a	Real
f a sh a n u k a	Real
f a t s a	Real
f a t y a n u k a	Real
f a zh a i dz a	Real
f e d a i r a	Real
f e d b a	Real
f e d e m a r a	Real
f e dz a	Real
f e f e m a k a	Real
f e f e m u k a	Real
f e f e m u r a	Real
f e f e m u t s a	Real
f e f e n u dz a	Real
f e f e n u k a	Real
f e f e r a	Real
f e f e r u k a	Real
f e f e t a	Real
f e f e t e dz a	Real
f e k e sh e dz a	Real
f e k e sh e k a	Real
f e k e t a	Real
f e k u dz a	Real
f e k u k a	Real
f e k u k a	Real
f e k u r a	Real
f e k u r a	Real
f e m a	Real
f e m a r u k a	Real
f e m b a	Real
f e m b e r a	Real
f e m b u k a	Real
f e m b u r a	Real
f e m e dz e k a	Real
f e m e r e dz a	Real
f e m e r u k a	Real
f e m u dz a	Real
f e m u r a	Real
f e n a	Real
f e n d a	Real
f e n d a dz a	Real
f e n d a k a	Real
f e n d e k e t e k a	Real
f e n d u r a	Real
f e n e N g a dz a	Real
f e n e n y e dz a	Real
f e N g a	Real
f e N g a	Real
f e N g e f a	Real
f e N g u k a	Real
f e N g u r a	Real
f e n y a	Real
f e n y e n y a	Real
f e n z a	Real
f e r a	Real
f e r a	Real
f e r e f e t a	Real
f e r e N g a	Real
f e r e n u dz a	Real
f e r e n u k a	Real
f e r e n u r a	Real
f e r e r e dz a	Real
f e r e r e k a	Real
f e r u dz a	Real
f e r u k a	Real
f e s a	Real
f e s a	Real
f e sh e r w a	Real
f e t a	Real
f e t e t e dz a	Real
f e t u k a	Real
f e t y e m a dz a	Real
f e t y e m a r a	Real
f e vh a	Real
f e y a	Real
f i d a k a	Real
f i d a n a dz a	Real
f i dh a	Real
f i d i g a r a	Real
f i d i m a r a	Real
f i f i n y a dz a	Real
f i f i n y a r a	Real
f i k a	Real
f i k a	Real
f i k i ch i k a	Real
f i k i ch i r a	Real
f i k i dz a	Real
f i k i t i r a	Real
f i k u r a	Real
f i n b a	Real
f i n d a m a	Real
f i n d i k a	Real
f i n d i m w a dz a	Real
f i n d i m w a r a	Real
f i n d u k a	Real
f i n h a	Real
f i n h i dz a	Real
f i n h i k a	Real
f i n h i r a	Real
f i n h u dz a	Real
f i n h u k a	Real
f i n h u r a	Real
f i n i n i dz a	Real
f i n i n i k a	Real
f i n i r a	Real
f i n y a m a	Real
f i n y a n a	Real
f i n y a r a dz a	Real
f i n y i n y a	Real
f i n y i n y i dz a	Real
f i n y i n y i k a	Real
f i n y u k a	Real
f i n y u r a	Real
f i r a	Real
f i r a	Real
f i r i d a	Real
f i r i dz a	Real
f i r i dz i k a	Real
f i r i m i s a	Real
f i r i r i dz a	Real
f i r i r i k a	Real
f i s a	Real
f i t a	Real
f o b a	Real
f o bh a	Real
f o d o g o dz a	Real
f o d o g o k a	Real
f o d o g o r a	Real
f o d o r a	Real
f o f o m a	Real
f o f o r e dz a	Real
f o f o r e k a	Real
f o f o v o k a	Real
f o f o v o r a	Real
f o g o d o r a	Real
f o g o r a	Real
f o k o n o dz a	Real
f o k o n o k a	Real
f o k o n o r a	Real
f o k o n y o k a	Real
f o k o n y o r a	Real
f o k o sh a	Real
f o k o t o r a	Real
f o m b o dz a	Real
f o m b o n o r a	Real
f o m b o r a	Real
f o m h o k a	Real
f o m h o r a	Real
f o m o k a	Real
f o m o r a	Real
f o n d o dz a	Real
f o n d o dz a	Real
f o n d o k a	Real
f o n d o k a	Real
f o n d o n o r a	Real
f o n d o r a	Real
f o n d o r a	Real
f o n d o t a	Real
f o N g o k a	Real
